Date,open,high,low,close,adjclose,volume,ticker
2021-01-29,24.89999962,25.79999924,24.35000038,24.79999924,21.36366653,381938573,IRFC.NS
2021-02-01,25.25,25.39999962,24.89999962,25.10000038,21.62209511,72044464,IRFC.NS
2021-02-02,25.45000076,25.45000076,24.70000076,24.75,21.32059288,36735442,IRFC.NS
2021-02-03,24.79999924,24.89999962,24.04999924,24.25,20.8898735,45816269,IRFC.NS
2021-02-04,24.25,25.79999924,23.85000038,25.35000038,21.83745766,88486029,IRFC.NS
2021-02-05,25.60000038,26.20000076,25.54999924,25.70000076,22.13896179,56318695,IRFC.NS
2021-02-08,25.89999962,25.95000076,25.60000038,25.75,22.18202972,28324374,IRFC.NS
2021-02-09,25.75,25.79999924,25.20000076,25.29999924,21.794384,25243532,IRFC.NS
2021-02-10,25.39999962,25.79999924,25,25.39999962,21.8805275,33132159,IRFC.NS
2021-02-11,25.39999962,25.64999962,25.25,25.39999962,21.8805275,13586295,IRFC.NS
2021-02-12,25.5,25.54999924,25.29999924,25.39999962,21.8805275,15658220,IRFC.NS
2021-02-15,26.20000076,26.20000076,25.64999962,25.75,22.18202972,45629832,IRFC.NS
2021-02-16,25.89999962,26,25.79999924,25.89999962,22.31124687,34557518,IRFC.NS
2021-02-17,25.29999924,25.60000038,24.89999962,25.29999924,22.7152729,28638408,IRFC.NS
2021-02-18,25.45000076,25.79999924,25.39999962,25.64999962,23.02951622,21022422,IRFC.NS
2021-02-19,25.64999962,25.70000076,25.20000076,25.35000038,22.76016617,14542153,IRFC.NS
2021-02-22,25.29999924,25.39999962,24.95000076,25,22.44592285,16652770,IRFC.NS
2021-02-23,25,25.14999962,24.89999962,24.95000076,22.40103149,13021961,IRFC.NS
2021-02-24,24.89999962,25.20000076,24.85000038,24.89999962,22.35613823,10958830,IRFC.NS
2021-02-25,24.95000076,25.20000076,24.89999962,24.95000076,22.40103149,22761296,IRFC.NS
2021-02-26,24.85000038,24.95000076,24.5,24.64999962,22.13167763,36424500,IRFC.NS
2021-03-01,24.64999962,26.70000076,24.64999962,25.89999962,23.25397491,93579588,IRFC.NS
2021-03-02,26.10000038,26.29999924,25.45000076,25.64999962,23.02951622,48494934,IRFC.NS
2021-03-03,25.79999924,25.95000076,25.45000076,25.5,22.89483833,18806435,IRFC.NS
2021-03-04,25.25,25.70000076,25.25,25.39999962,22.80505562,21742960,IRFC.NS
2021-03-05,25.39999962,25.54999924,24.79999924,24.95000076,22.40103149,25255199,IRFC.NS
2021-03-08,25.10000038,25.25,24.79999924,24.85000038,22.31124878,16353985,IRFC.NS
2021-03-09,24.95000076,25.5,24.79999924,24.95000076,22.40103149,21380757,IRFC.NS
2021-03-10,25,25.10000038,24.85000038,24.85000038,22.31124878,11360743,IRFC.NS
2021-03-12,24.89999962,25.04999924,24.79999924,24.85000038,22.31124878,17086939,IRFC.NS
2021-03-15,24.89999962,24.95000076,24.5,24.64999962,22.13167763,17382950,IRFC.NS
2021-03-16,24.64999962,24.79999924,24.5,24.54999924,22.04189491,9649363,IRFC.NS
2021-03-17,24.54999924,24.60000038,24.10000038,24.14999962,21.68276024,14312130,IRFC.NS
2021-03-18,24.20000076,24.60000038,23.89999962,24.04999924,21.59297752,16168159,IRFC.NS
2021-03-19,24,24.10000038,23.5,23.95000076,21.5031929,15260549,IRFC.NS
2021-03-22,24,24.5,23.85000038,23.89999962,21.45830154,13817385,IRFC.NS
2021-03-23,23.89999962,24.10000038,23.75,23.79999924,21.36851883,13742805,IRFC.NS
2021-03-24,23.79999924,23.89999962,23.39999962,23.45000076,21.05427551,16788250,IRFC.NS
2021-03-25,23.45000076,23.54999924,22.89999962,22.95000076,20.60535622,19233029,IRFC.NS
2021-03-26,23.20000076,23.29999924,22.89999962,23.04999924,20.69513893,16323314,IRFC.NS
2021-03-30,23.14999962,23.29999924,22.89999962,22.95000076,20.60535622,14301425,IRFC.NS
2021-03-31,22.95000076,23.10000038,22.89999962,22.89999962,20.56046295,11770453,IRFC.NS
2021-04-01,23,23.20000076,22.70000076,22.85000038,20.5155735,18367745,IRFC.NS
2021-04-05,22.85000038,22.89999962,22.29999924,22.5,20.20133018,20106460,IRFC.NS
2021-04-06,22.5,22.5,21.89999962,22,19.75241089,25085603,IRFC.NS
2021-04-07,22,22.29999924,21.89999962,22.14999962,19.88708687,14507382,IRFC.NS
2021-04-08,22.10000038,22.35000038,21.89999962,21.95000076,19.70751953,18025782,IRFC.NS
2021-04-09,22,22.04999924,21.89999962,21.95000076,19.70751953,16396258,IRFC.NS
2021-04-12,21.85000038,21.85000038,20.79999924,20.85000038,18.71990013,25942981,IRFC.NS
2021-04-13,20.85000038,21.5,20.79999924,21.45000076,19.25860214,14831755,IRFC.NS
2021-04-15,21.29999924,21.35000038,20.89999962,21.10000038,18.94435883,18166238,IRFC.NS
2021-04-16,21.25,22,21.04999924,21.75,19.52795219,22174311,IRFC.NS
2021-04-19,21.20000076,21.35000038,20.89999962,21.14999962,18.98925018,10477070,IRFC.NS
2021-04-20,21.14999962,21.64999962,21.10000038,21.25,19.07903481,12199610,IRFC.NS
2021-04-22,21.14999962,21.29999924,21,21.04999924,18.89946556,8974995,IRFC.NS
2021-04-23,21.10000038,21.5,21,21.10000038,18.94435883,15602661,IRFC.NS
2021-04-26,21.10000038,21.35000038,20.95000076,21,18.8545742,12051423,IRFC.NS
2021-04-27,21.10000038,21.5,21.04999924,21.20000076,19.03414536,14181276,IRFC.NS
2021-04-28,21.29999924,21.35000038,21.10000038,21.14999962,18.98925018,14514238,IRFC.NS
2021-04-29,21.29999924,21.29999924,21.10000038,21.14999962,18.98925018,9521946,IRFC.NS
2021-04-30,21.04999924,21.39999962,21,21.29999924,19.12392616,11713860,IRFC.NS
2021-05-03,21.14999962,21.25,20.95000076,21.04999924,18.89946556,17512189,IRFC.NS
2021-05-04,21.14999962,21.14999962,20.89999962,20.95000076,18.80968285,26418223,IRFC.NS
2021-05-05,21,21.20000076,20.95000076,21,18.8545742,9381211,IRFC.NS
2021-05-06,21.10000038,21.14999962,21,21.10000038,18.94435883,7525053,IRFC.NS
2021-05-07,21.10000038,21.14999962,21,21.10000038,18.94435883,8322642,IRFC.NS
2021-05-10,21.14999962,22.70000076,21.10000038,22.54999924,20.24622154,51346170,IRFC.NS
2021-05-11,22.35000038,23.10000038,22.20000076,22.95000076,20.60535622,33120701,IRFC.NS
2021-05-12,23,23.79999924,23,23.39999962,21.00938225,34159626,IRFC.NS
2021-05-14,23.70000076,23.85000038,23,23.04999924,20.69513893,18230175,IRFC.NS
2021-05-17,23.14999962,23.45000076,23,23.04999924,20.69513893,13816130,IRFC.NS
2021-05-18,23.25,23.25,22.89999962,23.10000038,20.7400322,9997457,IRFC.NS
2021-05-19,23.10000038,23.54999924,23.04999924,23.10000038,20.7400322,19146895,IRFC.NS
2021-05-20,23.20000076,23.64999962,22.95000076,23.10000038,20.7400322,21995952,IRFC.NS
2021-05-21,23.20000076,23.39999962,23.14999962,23.35000038,20.9644928,14712804,IRFC.NS
2021-05-24,23.85000038,24.14999962,23.70000076,24,21.54808807,32823856,IRFC.NS
2021-05-25,24.20000076,24.25,23.85000038,23.95000076,21.5031929,15738661,IRFC.NS
2021-05-26,24.10000038,24.10000038,23.79999924,23.85000038,21.41341209,10671045,IRFC.NS
2021-05-27,23.85000038,23.95000076,23.54999924,23.64999962,21.23384285,10133530,IRFC.NS
2021-05-28,23.64999962,23.75,23.29999924,23.45000076,21.05427551,10532654,IRFC.NS
2021-05-31,23.45000076,23.95000076,23.35000038,23.75,21.32362556,19396582,IRFC.NS
2021-06-01,23.79999924,23.89999962,23.5,23.60000038,21.18894958,11780039,IRFC.NS
2021-06-02,23.54999924,24,23.45000076,23.5,21.09916687,12961145,IRFC.NS
2021-06-03,23.60000038,23.70000076,23.54999924,23.60000038,21.18894958,10748652,IRFC.NS
2021-06-04,23.54999924,23.95000076,23.45000076,23.70000076,21.27873611,21328589,IRFC.NS
2021-06-07,24,24.85000038,23.89999962,24.70000076,22.1765728,42832019,IRFC.NS
2021-06-08,24.95000076,25,24.39999962,24.75,22.22146225,25856634,IRFC.NS
2021-06-09,24.85000038,24.95000076,24.20000076,24.29999924,21.81743431,28032813,IRFC.NS
2021-06-10,24.5,24.70000076,24.29999924,24.5,21.99700356,17127778,IRFC.NS
2021-06-11,24.60000038,24.75,24.35000038,24.45000076,21.95211029,15835535,IRFC.NS
2021-06-14,24.70000076,24.79999924,24.20000076,24.70000076,22.1765728,18111116,IRFC.NS
2021-06-15,25,25.60000038,24.79999924,25.20000076,22.6254921,54064001,IRFC.NS
2021-06-16,25.29999924,25.5,24.85000038,24.95000076,22.40103149,27411596,IRFC.NS
2021-06-17,24.89999962,25.25,24.54999924,24.70000076,22.1765728,24326370,IRFC.NS
2021-06-18,25,25.20000076,24.20000076,24.54999924,22.04189491,78058672,IRFC.NS
2021-06-21,24.5,24.95000076,24.29999924,24.89999962,22.35613823,14319848,IRFC.NS
2021-06-22,25.20000076,25.29999924,24.89999962,24.95000076,22.40103149,19440926,IRFC.NS
2021-06-23,25.10000038,25.10000038,24.70000076,24.85000038,22.31124878,13104410,IRFC.NS
2021-06-24,24.95000076,25,24.64999962,24.70000076,22.1765728,8410959,IRFC.NS
2021-06-25,24.70000076,24.85000038,24.60000038,24.70000076,22.1765728,8120462,IRFC.NS
2021-06-28,25,25.10000038,24.70000076,24.75,22.22146225,14044388,IRFC.NS
2021-06-29,24.89999962,26.45000076,24.70000076,25.29999924,22.7152729,100006129,IRFC.NS
2021-06-30,25.39999962,25.45000076,24.60000038,24.85000038,22.31124878,34846415,IRFC.NS
2021-07-01,24.95000076,25,24.20000076,24.25,21.77254295,23822346,IRFC.NS
2021-07-02,24.45000076,24.60000038,24.25,24.35000038,21.86232948,14428073,IRFC.NS
2021-07-05,24.5,24.64999962,24.25,24.35000038,21.86232948,20315538,IRFC.NS
2021-07-06,24.35000038,24.5,23.75,24.04999924,21.59297752,17324102,IRFC.NS
2021-07-07,23.85000038,24.35000038,23.64999962,23.79999924,21.36851883,16098633,IRFC.NS
2021-07-08,23.85000038,24.20000076,23.70000076,23.79999924,21.36851883,14740358,IRFC.NS
2021-07-09,23.85000038,23.89999962,23.64999962,23.70000076,21.27873611,8652360,IRFC.NS
2021-07-12,23.95000076,24,23.64999962,23.85000038,21.41341209,13596595,IRFC.NS
2021-07-13,23.95000076,24.04999924,23.70000076,23.70000076,21.27873611,13753544,IRFC.NS
2021-07-14,23.79999924,23.85000038,23.45000076,23.5,21.09916687,15287631,IRFC.NS
2021-07-15,23.54999924,23.60000038,23.20000076,23.20000076,20.82981682,13068468,IRFC.NS
2021-07-16,23.35000038,23.54999924,23.25,23.29999924,20.91959953,16212009,IRFC.NS
2021-07-19,23.25,23.45000076,23.14999962,23.35000038,20.9644928,9181862,IRFC.NS
2021-07-20,23.35000038,23.45000076,23.20000076,23.25,20.87470627,7502994,IRFC.NS
2021-07-22,23.39999962,23.64999962,23.29999924,23.54999924,21.14405823,9446372,IRFC.NS
